house_id,xiaoqu,district,total_price,unit_price,house_type,floor,area,house_struct,in_area,building_type,direction,building_structure,fixture,elevator_ratio,elevator_exist,yearlimit,list_time,trade_type,last_tradetime,house_use,house_time,owner_attribute,mortage,property_status,villa_type,overall_floor
103103206680,绿洲新城,高区,1218000.0,10971.0,2室2厅1厨1卫,低楼层,111.03,平层,暂无数据,板楼,南北,框架结构,简装,两梯三户,有,暂无数据,2018-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,21.0
103103182389,金猴绿色花园,高区,780000.0,9775.0,3室2厅1厨1卫,高楼层,79.8,平层,暂无数据,板楼,南北,钢混结构,简装,一梯两户,无,暂无数据,2018-10-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103142767,金猴绿色花园,高区,1050000.0,11872.0,3室2厅1厨1卫,高楼层,88.45,平层,暂无数据,板楼,南北,框架结构,精装,一梯两户,有,暂无数据,2018-10-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103103114875,盛德世纪家园,高区,1700000.0,12978.0,3室2厅1厨1卫,低楼层,131.0,平层,暂无数据,板楼,南北,钢结构,精装,一梯两户,无,暂无数据,2018-10-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,18.0
103103100461,黄家沟小区,高区,598000.0,8423.0,3室1厅1厨1卫,高楼层,71.0,平层,暂无数据,板楼,南北,砖混结构,精装,一梯两户,无,暂无数据,2018-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,7.0
103103075619,西郊春山华居东区,高区,720000.0,10779.0,2室1厅1厨1卫,低楼层,66.8,平层,暂无数据,板楼,南北,框架结构,简装,一梯三户,无,暂无数据,2018-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103102995038,颐青园,高区,1058000.0,11137.0,3室1厅1厨1卫,高楼层,95.0,平层,暂无数据,板楼,南北,钢混结构,精装,两梯四户,有,暂无数据,2018-09-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,16.0
103103068338,华垦生活小区,高区,1200000.0,10910.0,3室2厅1厨1卫,中楼层,110.0,平层,暂无数据,板塔结合,南北,砖混结构,简装,一梯两户,无,暂无数据,2018-10-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,6.0
103102926854,友盛家园生活小区,高区,1480000.0,8102.0,5室2厅1厨2卫,高楼层,182.69,平层,暂无数据,板楼,西北,框架结构,精装,一梯两户,无,暂无数据,2018-09-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,暂无数据,7.0
103102854165,高新花园小区,高区,900000.0,9000.0,2室2厅1厨2卫,高楼层,100.0,平层,暂无数据,塔楼,南北,钢混结构,毛坯,两梯六户,有,暂无数据,2018-09-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,暂无数据,28.0
