house_id,xiaoqu,district,total_price,unit_price,house_type,floor,area,house_struct,in_area,building_type,direction,building_structure,fixture,elevator_ratio,elevator_exist,yearlimit,list_time,trade_type,last_tradetime,house_use,house_time,owner_attribute,mortage,property_status
103108509623,维利亚花园,乳山市,150000.0,4167.0,1室0厅1厨1卫,中楼层,36.0,平层,暂无数据,板楼,南北,砖混结构,简装,一梯四户,暂无数据,暂无数据,2020-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
103108412322,檀香丽湾,乳山市,368000.0,5112.0,2室2厅1厨1卫,低楼层,72.0,平层,暂无数据,暂无数据,南北,未知结构,精装,十六梯三户,有,暂无数据,2020-04-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
103106485226,御宫花园,乳山市,330000.0,3486.0,2室2厅1厨1卫,高楼层,94.67,平层,80.01㎡,板楼,南北,混合结构,简装,一梯两户,无,满五年,2019-10-11,商品房,2011-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片
103108554063,阳光家园,乳山市,598000.0,6796.0,3室1厅1厨1卫,高楼层,88.0,平层,暂无数据,暂无数据,南北,未知结构,精装,一梯两户,无,暂无数据,2020-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
103108510342,安康居观海苑,乳山市,275000.0,1719.0,4室2厅1厨2卫,高楼层,160.0,平层,暂无数据,暂无数据,南北,未知结构,精装,一梯两户,无,暂无数据,2020-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
